"Week Date (Sunday)","Unvaccinated Cases","Breakthrough Cases","Unvaccinated Hospitalizations","Breakthrough Hospitalizations","Unvaccinated Deaths","Breakthrough Deaths","Vaccinated Case Rate","Vaccinated Hospitalization Rate","Vaccinated Mortality Rate","Unvaccinated Case Rate","Unvaccinated Hospitalization Rate","Unvaccinated Mortality Rate","Unvaccinated Population","Fully vaccinated Population"
2020-03-01,1,0,0,0,0,0,0,0,0,0.04,0,0,2592257,0
2020-03-08,13,0,5,0,0,0,0,0,0,0.5,0.19,0,2592257,0
2020-03-15,127,0,21,0,0,0,0,0,0,4.9,0.81,0,2592257,0
2020-03-22,540,0,55,0,5,0,0,0,0,20.83,2.12,0.19,2592257,0
2020-03-29,885,0,64,0,10,0,0,0,0,34.14,2.47,0.39,2592257,0
2020-04-05,695,0,64,0,7,0,0,0,0,26.81,2.47,0.27,2592257,0
2020-04-12,743,0,69,0,7,0,0,0,0,28.66,2.66,0.27,2592257,0
2020-04-19,1013,0,87,0,16,0,0,0,0,39.08,3.36,0.62,2592257,0
2020-04-26,980,0,90,0,11,0,0,0,0,37.8,3.47,0.42,2592257,0
2020-05-03,1006,0,85,0,17,0,0,0,0,38.81,3.28,0.66,2592257,0
2020-05-10,941,0,83,0,20,0,0,0,0,36.3,3.2,0.77,2592257,0
2020-05-17,1095,0,115,0,14,0,0,0,0,42.24,4.44,0.54,2592257,0
2020-05-24,1359,0,106,0,11,0,0,0,0,52.43,4.09,0.42,2592257,0
2020-05-31,2171,0,135,0,13,0,0,0,0,83.75,5.21,0.5,2592257,0
2020-06-07,2152,0,133,0,19,0,0,0,0,83.02,5.13,0.73,2592257,0
2020-06-14,3024,0,174,0,16,0,0,0,0,116.66,6.71,0.62,2592257,0
2020-06-21,3432,0,206,0,15,0,0,0,0,132.39,7.95,0.58,2592257,0
2020-06-28,3734,0,224,0,21,0,0,0,0,144.04,8.64,0.81,2592257,0
2020-07-05,4426,0,235,0,36,0,0,0,0,170.74,9.07,1.39,2592257,0
